sequence,project,file path,file name,line number,git command,commit link,,,,,,,,,
1,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,DefaultModel.java,L98 - L102,git diff 1593e07 2d740d8 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,https://github.com/apache/camel/commit/2d740d82ac2eac1b8961aac7a2330bb0463c4bb9,,,,,,,,,compatibility problem. forEach. 
2,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,DefaultModel.java,L105 - L108,git diff 1593e07 2d740d8 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,https://github.com/apache/camel/commit/2d740d82ac2eac1b8961aac7a2330bb0463c4bb9,,,,,,,,,compatibility problem. forEach. 
3,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,DefaultModel.java,L106 - L106,git diff 1593e07 2d740d8 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,https://github.com/apache/camel/commit/2d740d82ac2eac1b8961aac7a2330bb0463c4bb9,,,,,,,,,compatibility problem. forEach. 
4,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,DefaultModel.java,L177 - L180,git diff 1593e07 2d740d8 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,https://github.com/apache/camel/commit/2d740d82ac2eac1b8961aac7a2330bb0463c4bb9,,,,,,,,,compatibility problem. forEach. 
5,apache/camel,core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,DefaultModel.java,L178 - L178,git diff 1593e07 2d740d8 core/camel-core-engine/src/main/java/org/apache/camel/impl/DefaultModel.java,https://github.com/apache/camel/commit/2d740d82ac2eac1b8961aac7a2330bb0463c4bb9,,,,,,,,,compatibility problem. forEach. 
6,apache/camel,core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/AbstractCamelContext.java,AbstractCamelContext.java,L3822 - L3837,git diff a7fdaf3 d145296 core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/AbstractCamelContext.java,https://github.com/apache/camel/commit/d145296dcfb875590407dbff4c7cc5f3ed3e7aee,,,,,,,,,revert/roll back
7,apache/camel,components/camel-soroush/src/main/java/org/apache/camel/component/soroushbot/component/SoroushBotMultiThreadConsumer.java,SoroushBotMultiThreadConsumer.java,L55 - L55,git diff 8312a9a 692579d components/camel-soroush/src/main/java/org/apache/camel/component/soroushbot/component/SoroushBotMultiThreadConsumer.java,https://github.com/apache/camel/commit/692579d8d1ed0262b548b6e2085bf4a775873ae5,,,,,,,,,not related
8,apache/camel,components/camel-soroush/src/main/java/org/apache/camel/component/soroushbot/component/SoroushBotSingleThreadConsumer.java,SoroushBotSingleThreadConsumer.java,L40 - L40,git diff 8312a9a 692579d components/camel-soroush/src/main/java/org/apache/camel/component/soroushbot/component/SoroushBotSingleThreadConsumer.java,https://github.com/apache/camel/commit/692579d8d1ed0262b548b6e2085bf4a775873ae5,,,,,,,,,not related
9,apache/camel,components/camel-sjms/src/main/java/org/apache/camel/component/sjms/consumer/EndpointMessageListener.java,EndpointMessageListener.java,L255 - L272,git diff 8709742 8c741e2 components/camel-sjms/src/main/java/org/apache/camel/component/sjms/consumer/EndpointMessageListener.java,https://github.com/apache/camel/commit/8c741e27f70785a0add742fad3ee68ec0ea4689a,,,,,,,,,camel-sjms - Make it more feature compatible with camel-jms (producer)
10,apache/camel,components/camel-sjms/src/main/java/org/apache/camel/component/sjms/consumer/EndpointMessageListener.java,EndpointMessageListener.java,L287 - L304,git diff 8709742 8c741e2 components/camel-sjms/src/main/java/org/apache/camel/component/sjms/consumer/EndpointMessageListener.java,https://github.com/apache/camel/commit/8c741e27f70785a0add742fad3ee68ec0ea4689a,,,,,,,,,camel-sjms - Make it more feature compatible with camel-jms (producer)
11,apache/camel,core/camel-core-languages/src/main/java/org/apache/camel/language/csimple/CSimpleLanguage.java,CSimpleLanguage.java,L71 - L77,git diff 4198017 c57d6a3 core/camel-core-languages/src/main/java/org/apache/camel/language/csimple/CSimpleLanguage.java,https://github.com/apache/camel/commit/c57d6a319dfdb5cca9afb0aa623ff067e589f053,,,,,,,,,not related
12,apache/camel,components/camel-salesforce/camel-salesforce-maven-plugin/src/main/java/org/apache/camel/maven/GenerateMojo.java,GenerateMojo.java,L184 - L184,git diff 87c00a9 48b67e1 components/camel-salesforce/camel-salesforce-maven-plugin/src/main/java/org/apache/camel/maven/GenerateMojo.java,https://github.com/apache/camel/commit/48b67e1c245829c33741929bcad75d258b3416ca,,,,,,,,,not related
