oopsla2017项目,,,,,,,,
seq,project,file path,file name,line number,modified java files,git command, commit link,
1,apache/geode,geode-core/src/main/java/org/apache/geode/internal/cache/ClusterConfigurationLoader.java,ClusterConfigurationLoader.java,L103-L103,23,git diff e938d66a735a8668e93f256bcc8acbd6da31bc1e 3b85e5cb88ff62b0e0a3ac3c35c70e15fad292a2 geode-core/src/main/java/org/apache/geode/internal/cache/ClusterConfigurationLoader.java,https://github.com/apache/geode/commit/3b85e5cb88ff62b0e0a3ac3c35c70e15fad292a2,
2,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/DurableClientReconnectDUnitTest.java,DurableClientReconnectDUnitTest.java,L114-L114,93,git diff 12a7f45ac32f6f1949b9bb491c166db9e096363c 0bd2f5d28a543892f2e24035f9b9931b5ddacf11 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/DurableClientReconnectDUnitTest.java,https://github.com/apache/geode/commit/0bd2f5d28a543892f2e24035f9b9931b5ddacf11,
3,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/DurableClientReconnectDUnitTest.java,DurableClientReconnectDUnitTest.java,L115-L115,93,git diff 12a7f45ac32f6f1949b9bb491c166db9e096363c 0bd2f5d28a543892f2e24035f9b9931b5ddacf11 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/DurableClientReconnectDUnitTest.java,https://github.com/apache/geode/commit/0bd2f5d28a543892f2e24035f9b9931b5ddacf11,
4,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/DurableClientReconnectDUnitTest.java,DurableClientReconnectDUnitTest.java,L116-L116,93,git diff 12a7f45ac32f6f1949b9bb491c166db9e096363c 0bd2f5d28a543892f2e24035f9b9931b5ddacf11 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/DurableClientReconnectDUnitTest.java,https://github.com/apache/geode/commit/0bd2f5d28a543892f2e24035f9b9931b5ddacf11,
5,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/DurableClientReconnectDUnitTest.java,DurableClientReconnectDUnitTest.java,L117-L117,93,git diff 12a7f45ac32f6f1949b9bb491c166db9e096363c 0bd2f5d28a543892f2e24035f9b9931b5ddacf11 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/DurableClientReconnectDUnitTest.java,https://github.com/apache/geode/commit/0bd2f5d28a543892f2e24035f9b9931b5ddacf11,
6,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelPart1DUnitTest.java,RedundancyLevelPart1DUnitTest.java,L224-L224,93,git diff 12a7f45ac32f6f1949b9bb491c166db9e096363c 0bd2f5d28a543892f2e24035f9b9931b5ddacf11 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelPart1DUnitTest.java,https://github.com/apache/geode/commit/0bd2f5d28a543892f2e24035f9b9931b5ddacf11,
7,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L118-L118,93,git diff 12a7f45ac32f6f1949b9bb491c166db9e096363c 0bd2f5d28a543892f2e24035f9b9931b5ddacf11 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/0bd2f5d28a543892f2e24035f9b9931b5ddacf11,
8,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L120-L120,93,git diff 12a7f45ac32f6f1949b9bb491c166db9e096363c 0bd2f5d28a543892f2e24035f9b9931b5ddacf11 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/0bd2f5d28a543892f2e24035f9b9931b5ddacf11,
9,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L122-L122,93,git diff 12a7f45ac32f6f1949b9bb491c166db9e096363c 0bd2f5d28a543892f2e24035f9b9931b5ddacf11 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/0bd2f5d28a543892f2e24035f9b9931b5ddacf11,
10,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L124-L124,93,git diff 12a7f45ac32f6f1949b9bb491c166db9e096363c 0bd2f5d28a543892f2e24035f9b9931b5ddacf11 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/0bd2f5d28a543892f2e24035f9b9931b5ddacf11,
