oopsla2017项目,,,,,,,,
seq,project,file path,file name,line number,modified java files,git command, commit link,
1,apache/geode,geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,HashesAndCrashesDUnitTest.java,L267-L267,9,git diff 7ca77ccf8eb38d298bc53a870a6e90624098ce91 4637498e1f933d13f298b10b65dbc2af776c5c98 geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,https://github.com/apache/geode/commit/4637498e1f933d13f298b10b65dbc2af776c5c98,无关
2,apache/geode,geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,HashesAndCrashesDUnitTest.java,L294-L294,9,git diff 7ca77ccf8eb38d298bc53a870a6e90624098ce91 4637498e1f933d13f298b10b65dbc2af776c5c98 geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,https://github.com/apache/geode/commit/4637498e1f933d13f298b10b65dbc2af776c5c98,无关
3,apache/geode,geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,HashesAndCrashesDUnitTest.java,L323-L323,9,git diff 7ca77ccf8eb38d298bc53a870a6e90624098ce91 4637498e1f933d13f298b10b65dbc2af776c5c98 geode-redis/src/distributedTest/java/org/apache/geode/redis/internal/executor/hash/HashesAndCrashesDUnitTest.java,https://github.com/apache/geode/commit/4637498e1f933d13f298b10b65dbc2af776c5c98,无关
4,apache/geode,geode-redis/src/main/java/org/apache/geode/redis/internal/PubSubImpl.java,PubSubImpl.java,L100-L104,9,git diff 1a0d9769e482f49e0c725c0d6adc75d324f88958 9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1 geode-redis/src/main/java/org/apache/geode/redis/internal/PubSubImpl.java,https://github.com/apache/geode/commit/9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1,噪声
5,apache/geode,extensions/geode-modules/src/main/java/org/apache/geode/modules/session/catalina/DeltaSession.java,DeltaSession.java,L121-L121,32,git diff bbd09ef40b1f677634b918cb218f7faae43ad65c c4df938c27e02538ab0468498110951c55e5be74 extensions/geode-modules/src/main/java/org/apache/geode/modules/session/catalina/DeltaSession.java,https://github.com/apache/geode/commit/c4df938c27e02538ab0468498110951c55e5be74,
6,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/management/MemberMXBeanAttributesDistributedTest.java,MemberMXBeanAttributesDistributedTest.java,L85-L90,1,git diff ee5ec15413714008db0024eafb6540d14f9a5392 d1323bd5098c1d9b4438fb09f08427c2e9fc6783 geode-core/src/distributedTest/java/org/apache/geode/management/MemberMXBeanAttributesDistributedTest.java,https://github.com/apache/geode/commit/d1323bd5098c1d9b4438fb09f08427c2e9fc6783,无关
7,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/jta/dunit/TransactionTimeOutDUnitTest.java,TransactionTimeOutDUnitTest.java,L194-L194,1,git diff dafa5f019d41560c952baffb8af82faa3bd2d757 c79cd1d244bd0ac07712ebdb61273ec15e69ca84 geode-core/src/distributedTest/java/org/apache/geode/internal/jta/dunit/TransactionTimeOutDUnitTest.java,https://github.com/apache/geode/commit/c79cd1d244bd0ac07712ebdb61273ec15e69ca84,无关
8,apache/geode,geode-core/src/integrationTest/java/org/apache/geode/distributed/internal/membership/gms/messenger/JGroupsMessengerJUnitTest.java,JGroupsMessengerJUnitTest.java,L246-L250,99,git diff 63714964f354024591dba4c77623d4e8eeef2c8e 743c925efa608719aca1ee6249d3c8ee3901905c geode-core/src/integrationTest/java/org/apache/geode/distributed/internal/membership/gms/messenger/JGroupsMessengerJUnitTest.java,https://github.com/apache/geode/commit/743c925efa608719aca1ee6249d3c8ee3901905c,
9,apache/geode,geode-core/src/main/java/org/apache/geode/internal/logging/SortLogFile.java,SortLogFile.java,L53-L67,99,git diff 63714964f354024591dba4c77623d4e8eeef2c8e 743c925efa608719aca1ee6249d3c8ee3901905c geode-core/src/main/java/org/apache/geode/internal/logging/SortLogFile.java,https://github.com/apache/geode/commit/743c925efa608719aca1ee6249d3c8ee3901905c,
10,apache/geode,geode-core/src/test/java/org/apache/geode/internal/cache/tier/sockets/DataSerializerPropagationDUnitTest.java,DataSerializerPropagationDUnitTest.java,L632-L632,2,git diff 3a9d9f341614b9020ae963766eafca7b8b956045 4b9dc96fe4771e31efd09398965f7eb496faeae5 geode-core/src/test/java/org/apache/geode/internal/cache/tier/sockets/DataSerializerPropagationDUnitTest.java,https://github.com/apache/geode/commit/4b9dc96fe4771e31efd09398965f7eb496faeae5,无关
