oopsla2017项目,,,,,,,,,
seq,project,file path,file name,line number,modified java files,git command, commit link,,
1,apache/geode,geode-redis/src/distributedTest/java/org/apache/geode/redis/PubSubDUnitTest.java,PubSubDUnitTest.java,L191-L195,5,git diff 917f4c921c9c9fb3b19687ee67fe0dfe4f885056 e023b547dd48424cf76567f696d81965e152b5ec geode-redis/src/distributedTest/java/org/apache/geode/redis/PubSubDUnitTest.java,https://github.com/apache/geode/commit/e023b547dd48424cf76567f696d81965e152b5ec,无关,execute
2,apache/geode,geode-redis/src/main/java/org/apache/geode/redis/internal/executor/SingleResultRedisFunction.java,SingleResultRedisFunction.java,L48-L51,3,git diff af1ea6d2ff563db786abf773f572a9a09b0858d0 f243c4d99e1a223af0a3134d6a423b972195c507 geode-redis/src/main/java/org/apache/geode/redis/internal/executor/SingleResultRedisFunction.java,https://github.com/apache/geode/commit/f243c4d99e1a223af0a3134d6a423b972195c507,无关,execute
3,apache/geode,geode-core/src/main/java/org/apache/geode/cache/query/internal/DefaultQueryService.java,DefaultQueryService.java,L144-L144,15,git diff 95745912c14762cedb397ae97fd7d8e0f63a385f bd03dc7ff99e9cf95b3d9a9369ec8b0de308620d geode-core/src/main/java/org/apache/geode/cache/query/internal/DefaultQueryService.java,https://github.com/apache/geode/commit/bd03dc7ff99e9cf95b3d9a9369ec8b0de308620d,,
4,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,ClientServerFunctionExecutionDUnitTest.java,L197-L197,11,git diff b6f9c80b5141014be16c0ddeb7129687054d1182 845513d57eef11da91b05e45e9311e690527eaf6 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,https://github.com/apache/geode/commit/845513d57eef11da91b05e45e9311e690527eaf6,,
5,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,ClientServerFunctionExecutionDUnitTest.java,L198-L198,11,git diff b6f9c80b5141014be16c0ddeb7129687054d1182 845513d57eef11da91b05e45e9311e690527eaf6 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,https://github.com/apache/geode/commit/845513d57eef11da91b05e45e9311e690527eaf6,,
6,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,ClientServerFunctionExecutionDUnitTest.java,L211-L211,11,git diff b6f9c80b5141014be16c0ddeb7129687054d1182 845513d57eef11da91b05e45e9311e690527eaf6 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,https://github.com/apache/geode/commit/845513d57eef11da91b05e45e9311e690527eaf6,,
7,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,ClientServerFunctionExecutionDUnitTest.java,L223-L223,11,git diff b6f9c80b5141014be16c0ddeb7129687054d1182 845513d57eef11da91b05e45e9311e690527eaf6 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,https://github.com/apache/geode/commit/845513d57eef11da91b05e45e9311e690527eaf6,,
8,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,ClientServerFunctionExecutionDUnitTest.java,L224-L224,11,git diff b6f9c80b5141014be16c0ddeb7129687054d1182 845513d57eef11da91b05e45e9311e690527eaf6 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,https://github.com/apache/geode/commit/845513d57eef11da91b05e45e9311e690527eaf6,,
9,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,ClientServerFunctionExecutionDUnitTest.java,L225-L225,11,git diff b6f9c80b5141014be16c0ddeb7129687054d1182 845513d57eef11da91b05e45e9311e690527eaf6 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,https://github.com/apache/geode/commit/845513d57eef11da91b05e45e9311e690527eaf6,,
10,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,ClientServerFunctionExecutionDUnitTest.java,L226-L226,11,git diff b6f9c80b5141014be16c0ddeb7129687054d1182 845513d57eef11da91b05e45e9311e690527eaf6 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/execute/ClientServerFunctionExecutionDUnitTest.java,https://github.com/apache/geode/commit/845513d57eef11da91b05e45e9311e690527eaf6,,
