oopsla 2017项目数据,,,,,,,,,,,,,,,,,
seq,project,file path,file name,line number,modified java files,git command, commit link,,,,,,,,,,
1,apache/geode,geode-core/src/main/java/org/apache/geode/cache/client/internal/PoolImpl.java,PoolImpl.java,L229-L229,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-core/src/main/java/org/apache/geode/cache/client/internal/PoolImpl.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
2,apache/geode,geode-core/src/main/java/org/apache/geode/cache/client/internal/PoolImpl.java,PoolImpl.java,L231-L231,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-core/src/main/java/org/apache/geode/cache/client/internal/PoolImpl.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
3,apache/geode,geode-core/src/main/java/org/apache/geode/cache/client/internal/PoolImpl.java,PoolImpl.java,L485-L485,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-core/src/main/java/org/apache/geode/cache/client/internal/PoolImpl.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
4,apache/geode,geode-core/src/main/java/org/apache/geode/cache/client/internal/PoolImpl.java,PoolImpl.java,L495-L495,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-core/src/main/java/org/apache/geode/cache/client/internal/PoolImpl.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
5,apache/geode,geode-core/src/main/java/org/apache/geode/internal/cache/PoolFactoryImpl.java,PoolFactoryImpl.java,L325-L325,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-core/src/main/java/org/apache/geode/internal/cache/PoolFactoryImpl.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
6,apache/geode,geode-core/src/main/java/org/apache/geode/internal/cache/PoolFactoryImpl.java,PoolFactoryImpl.java,L557-L557,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-core/src/main/java/org/apache/geode/internal/cache/PoolFactoryImpl.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
7,apache/geode,geode-core/src/main/java/org/apache/geode/internal/cache/PoolFactoryImpl.java,PoolFactoryImpl.java,L572-L572,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-core/src/main/java/org/apache/geode/internal/cache/PoolFactoryImpl.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
8,apache/geode,geode-dunit/src/main/java/org/apache/geode/cache/client/internal/LocatorTestBase.java,LocatorTestBase.java,L240-L245,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-dunit/src/main/java/org/apache/geode/cache/client/internal/LocatorTestBase.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
9,apache/geode,geode-wan/src/distributedTest/java/org/apache/geode/internal/cache/wan/serial/WANHostNameVerificationDistributedTest.java,WANHostNameVerificationDistributedTest.java,L116-L121,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-wan/src/distributedTest/java/org/apache/geode/internal/cache/wan/serial/WANHostNameVerificationDistributedTest.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
10,apache/geode,geode-wan/src/distributedTest/java/org/apache/geode/internal/cache/wan/serial/WANHostNameVerificationDistributedTest.java,WANHostNameVerificationDistributedTest.java,L150-L155,78,git diff a61f9518f3497afafaf0d89144fe85f4baa91318 4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0 geode-wan/src/distributedTest/java/org/apache/geode/internal/cache/wan/serial/WANHostNameVerificationDistributedTest.java,https://github.com/apache/geode/commit/4b06a7ae04e3eb3e32d8a6a96c7eb5e5d3269df0,,,,,,,,,,
11,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelPart1DUnitTest.java,RedundancyLevelPart1DUnitTest.java,L224-L224,12,git diff 1cf64771e786b178ceb92dc6a4a08cf8225a3b2b 8e3c5bb35b8de490fe69c7f18fba3c32cac69227 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelPart1DUnitTest.java,https://github.com/apache/geode/commit/8e3c5bb35b8de490fe69c7f18fba3c32cac69227,,,,,,,,,无关,
12,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L118-L118,12,git diff 1cf64771e786b178ceb92dc6a4a08cf8225a3b2b 8e3c5bb35b8de490fe69c7f18fba3c32cac69227 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/8e3c5bb35b8de490fe69c7f18fba3c32cac69227,,,,,,,,,无关,
13,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L120-L120,12,git diff 1cf64771e786b178ceb92dc6a4a08cf8225a3b2b 8e3c5bb35b8de490fe69c7f18fba3c32cac69227 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/8e3c5bb35b8de490fe69c7f18fba3c32cac69227,,,,,,,,,无关,
14,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L122-L122,12,git diff 1cf64771e786b178ceb92dc6a4a08cf8225a3b2b 8e3c5bb35b8de490fe69c7f18fba3c32cac69227 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/8e3c5bb35b8de490fe69c7f18fba3c32cac69227,,,,,,,,,无关,
15,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L124-L124,12,git diff 1cf64771e786b178ceb92dc6a4a08cf8225a3b2b 8e3c5bb35b8de490fe69c7f18fba3c32cac69227 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/8e3c5bb35b8de490fe69c7f18fba3c32cac69227,,,,,,,,,无关,
16,apache/geode,geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,RedundancyLevelTestBase.java,L596-L596,12,git diff 1cf64771e786b178ceb92dc6a4a08cf8225a3b2b 8e3c5bb35b8de490fe69c7f18fba3c32cac69227 geode-core/src/distributedTest/java/org/apache/geode/internal/cache/tier/sockets/RedundancyLevelTestBase.java,https://github.com/apache/geode/commit/8e3c5bb35b8de490fe69c7f18fba3c32cac69227,,,,,,,,,无关,
