sequence,project,file path,file name,line number,git command,commit link,,,,,,,,,,,
1,rabbitmq/rabbitmq-jms-client,src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,RMQConnectionFactory.java,L103 - L103,git diff 48382b22cc3e48b7935a1d24fb309d5f678f1236 67e7d9347d6891b9e1fad88b4d1e2d392377da82 src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,https://github.com/rabbitmq/rabbitmq-jms-client/commit/67e7d9347d6891b9e1fad88b4d1e2d392377da82,,,,,,,,,,,可能是serializable的问题
2,rabbitmq/rabbitmq-jms-client,src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,RMQConnectionFactory.java,L110 - L110,git diff 48382b22cc3e48b7935a1d24fb309d5f678f1236 67e7d9347d6891b9e1fad88b4d1e2d392377da82 src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,https://github.com/rabbitmq/rabbitmq-jms-client/commit/67e7d9347d6891b9e1fad88b4d1e2d392377da82,,,,,,,,,,,可能是serializable的问题
3,rabbitmq/rabbitmq-jms-client,src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,RMQConnectionFactory.java,L117 - L117,git diff 48382b22cc3e48b7935a1d24fb309d5f678f1236 67e7d9347d6891b9e1fad88b4d1e2d392377da82 src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,https://github.com/rabbitmq/rabbitmq-jms-client/commit/67e7d9347d6891b9e1fad88b4d1e2d392377da82,,,,,,,,,,,可能是serializable的问题
4,rabbitmq/rabbitmq-jms-client,src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,RMQConnectionFactory.java,L122 - L122,git diff 5be302b4b345c99a452b789b352280cd4ba119f2 c2a984dd8f758dc079ab2fe18abb16d888fa7be1 src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,https://github.com/rabbitmq/rabbitmq-jms-client/commit/c2a984dd8f758dc079ab2fe18abb16d888fa7be1,,,,,,,,,,,serializable的问题
5,rabbitmq/rabbitmq-jms-client,src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,RMQConnectionFactory.java,L129 - L129,git diff 5be302b4b345c99a452b789b352280cd4ba119f2 c2a984dd8f758dc079ab2fe18abb16d888fa7be1 src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,https://github.com/rabbitmq/rabbitmq-jms-client/commit/c2a984dd8f758dc079ab2fe18abb16d888fa7be1,,,,,,,,,,,serializable的问题
6,rabbitmq/rabbitmq-jms-client,src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,RMQConnectionFactory.java,L136 - L136,git diff 5be302b4b345c99a452b789b352280cd4ba119f2 c2a984dd8f758dc079ab2fe18abb16d888fa7be1 src/main/java/com/rabbitmq/jms/admin/RMQConnectionFactory.java,https://github.com/rabbitmq/rabbitmq-jms-client/commit/c2a984dd8f758dc079ab2fe18abb16d888fa7be1,,,,,,,,,,,serializable的问题
7,opentracing-contrib/java-specialagent,rule/spring-messaging/src/main/java/io/opentracing/contrib/specialagent/rule/spring/messaging/copied/MessageTextMap.java,MessageTextMap.java,L49 - L60,git diff 9328397307e0ee2533baac345090783419d0c7e0 4d39a5badca33e6ac6c51099b77f5c2e3076a02f rule/spring-messaging/src/main/java/io/opentracing/contrib/specialagent/rule/spring/messaging/copied/MessageTextMap.java,https://github.com/opentracing-contrib/java-specialagent/commit/4d39a5badca33e6ac6c51099b77f5c2e3076a02f,,,,,,,,,,,forEach改for循环
8,opentracing-contrib/java-specialagent,rule/spring-messaging/src/test/java/io/opentracing/contrib/specialagent/rule/spring/messaging/SpringKafkaMessagingTest.java,SpringKafkaMessagingTest.java,L89 - L89,git diff 9328397307e0ee2533baac345090783419d0c7e0 4d39a5badca33e6ac6c51099b77f5c2e3076a02f rule/spring-messaging/src/test/java/io/opentracing/contrib/specialagent/rule/spring/messaging/SpringKafkaMessagingTest.java,https://github.com/opentracing-contrib/java-specialagent/commit/4d39a5badca33e6ac6c51099b77f5c2e3076a02f,,,,,,,,,,,stream改for循环
9,opentracing-contrib/java-specialagent,rule/spring-messaging/src/test/java/io/opentracing/contrib/specialagent/rule/spring/messaging/SpringKafkaMessagingTest.java,SpringKafkaMessagingTest.java,L91 - L91,git diff 9328397307e0ee2533baac345090783419d0c7e0 4d39a5badca33e6ac6c51099b77f5c2e3076a02f rule/spring-messaging/src/test/java/io/opentracing/contrib/specialagent/rule/spring/messaging/SpringKafkaMessagingTest.java,https://github.com/opentracing-contrib/java-specialagent/commit/4d39a5badca33e6ac6c51099b77f5c2e3076a02f,,,,,,,,,,,stream改for循环
10,opentracing-contrib/java-specialagent,rule/spring-messaging/src/main/java/io/opentracing/contrib/specialagent/rule/spring/messaging/copied/MessageTextMap.java,MessageTextMap.java,L51 - L62,git diff 83c2d9cbcdb9e574bc9ce4c01b1fa348d4f7f998 3a9b9829ce02c1fbf97622969113c884279860c3 rule/spring-messaging/src/main/java/io/opentracing/contrib/specialagent/rule/spring/messaging/copied/MessageTextMap.java,https://github.com/opentracing-contrib/java-specialagent/commit/3a9b9829ce02c1fbf97622969113c884279860c3,,,,,,,,,,,forEach改for循环，怀疑是要求后向兼容，因为pom文件删掉了对编译器的要求（1.8）
